Period,Value,state_name
2018,112150.12319,IN
2017,98929.81848,IN
2016,101759.05895,IN
2015,104019.27476,IN
2014,115395.39178,IN
2013,110403.47711,IN
2012,114695.72927,IN
2011,122131.41396,IN
2010,125180.73889,IN
2009,116670.27986,IN
2008,129510.29398,IN
2007,130637.9985,IN
2006,130489.78766,IN
2005,130371.57252,IN
2004,127770.39577,IN
2003,124888.217,IN
2002,125608.14,IN
2001,122569.673,IN
2018,64187.18652,IA
2017,57909.56614,IA
2016,54392.5065,IA
2015,56658.91846,IA
2014,56853.28247,IA
2013,56670.75692,IA
2012,56675.40557,IA
2011,56371.91265,IA
2010,57508.72079,IA
2009,51860.06313,IA
2008,53086.78637,IA
2007,49789.21697,IA
2006,45483.46238,IA
2005,44156.15992,IA
2004,43248.189,IA
2003,42116.192,IA
2002,42528.384,IA
2001,40658.512,IA
2018,52983.35991,KS
2017,50933.30456,KS
2016,47599.99057,KS
2015,45527.12366,KS
2014,49728.36311,KS
2013,48472.5813,KS
2012,44424.69077,KS
2011,45359.84012,KS
2010,47923.76218,KS
2009,46677.30755,KS
2008,46630.32137,KS
2007,50122.19572,KS
2006,45523.73631,KS
2005,45862.69587,KS
2004,46782.6588,KS
2003,46567.56,KS
2002,47188.446,KS
2001,44748.523,KS
2018,79191.13248,KY
2017,73179.1957,KY
2016,80273.50107,KY
2015,83543.67059,KY
2014,90896.43507,KY
2013,89741.02122,KY
2012,89949.6887,KY
2011,98350.98218,KY
2010,98217.65818,KY
2009,90630.42662,KY
2008,97863.34027,KY
2007,97225.31941,KY
2006,98792.01419,KY
2005,97822.41914,KY
2004,94529.94718,KY
2003,91718.82,KY
2002,92106.668,KY
2001,95417.626,KY
2018,101354.2789,LA
2017,97719.20733,LA
2016,107268.80356,LA
2015,107812.35352,LA
2014,104229.40163,LA
2013,102010.17699,LA
2012,103407.70581,LA
2011,105490.73696,LA
2010,102884.94019,LA
2009,90993.6761,LA
2008,92453.14138,LA
2007,92578.32872,LA
2006,90921.82942,LA
2005,92616.8782,LA
2004,98172.30865,LA
2003,94885.04,LA
2002,94970.964,LA
2001,87894.377,LA
2018,11450.68431,ME
2017,11264.28,ME
2016,11514.42707,ME
2015,11741.26486,ME
2014,13248.70989,ME
2013,14030.03761,ME
2012,15048.29623,ME
2011,15973.68806,ME
2010,17018.65964,ME
2009,16349.84867,ME
2008,17094.91944,ME
2007,16128.56744,ME
2006,16816.1727,ME
2005,18843.97757,ME
2004,19098.88545,ME
2003,18971.635,ME
2002,22535.033,ME
2001,19564.821,ME
2018,43926.69205,MD
2017,34104.23918,MD
2016,37166.68726,MD
2015,36365.54382,MD
2014,37833.65242,MD
2013,35850.81233,MD
2012,37809.74355,MD
2011,41818.06819,MD
2010,43607.2639,MD
2009,43774.83198,MD
2008,47360.9529,MD
2007,50197.92382,MD
2006,48956.87965,MD
2005,52661.60002,MD
2004,52052.76985,MD
2003,52244.237,MD
2002,48279.088,MD
2001,49062.34,MD
2018,27965.47356,MA
2017,32204.36376,MA
2016,31955.02169,MA
2015,32085.96914,MA
2014,31118.59132,MA
2013,32885.02068,MA
2012,35578.42149,MA
